City,State,Avg Temp [degrees F],latitude,longitude
Albuquerque,NM,57.2,35.0841034,-106.650985
Anchorage,AK,37.1,61.2163129,-149.894852
Atlanta,GA,62.3,33.7489924,-84.3902644
Austin,TX,69.3,30.2711286,-97.7436995
Baltimore,MD,55.6,39.2908816,-76.610759
Boise,ID,52.5,43.6166163,-116.200886
Boston,MA,51.7,42.3602534,-71.0582912
Charlotte,NC,60.9,35.2272086,-80.8430827
Chicago,IL,51.4,41.8755616,-87.6244212
Columbus,OH,53,39.9622601,-83.0007065
Dallas,TX,66.2,32.7762719,-96.7968559
Denver,CO,50.7,39.7392364,-104.9848623
Detroit,MI,50,42.3315509,-83.0466403
El Paso,TX,64.6,31.7754152,-106.464634
Fairbanks,AK,27.9,64.82897449999999,-147.66991691593407
Houston,TX,69.4,29.7589382,-95.3676974
Indianapolis,IN,53.2,39.7683331,-86.1583502
Jacksonville,FL,68.5,30.3321838,-81.655651
Kansas City,MO,54.5,39.100105,-94.5781416
Las Vegas,NV,68.5,36.1672559,-115.148516
Los Angeles,CA,63.3,34.0536909,-118.242766
Louisville,KY,57.1,38.2542376,-85.759407
Memphis,TN,63,35.1335022,-89.9668758
Miami,FL,76.9,25.7741728,-80.19362
Milwaukee,WI,48.1,43.0349931,-87.922497
Minneapolis,MN,46.1,44.9772995,-93.2654692
Nashville,TN,59.8,36.1622767,-86.7742984
New Orleans,LA,69.2,29.9759983,-90.0782127
New York City,NY,55.3,40.7127281,-74.0060152
Oklahoma City,OK,60.6,35.4729886,-97.5170536
Omaha,NE,51.1,41.2587459,-95.9383758
Philadelphia,PA ,55.8,39.9527237,-75.1635262
Phoenix,AZ,75,33.4484367,-112.0741417
Pittsburgh,PA,51.4,40.4416941,-79.9900861
Portland,OR,54.4,45.5202471,-122.6741949
Sacramento,CA,61.3,38.5810606,-121.493895
Salt Lake City,UT,52.9,40.7596198,-111.8867975
San Antonio,TX,69.5,29.4246002,-98.4951405
San Diego,CA,64.1,32.7174202,-117.1627728
San Francisco,CA,58.2,37.7790262,-122.419906
Seattle,WA,52.4,47.6038321,-122.3300624
St. Louis,MO,57,38.6264256,-90.1995853
Tampa,FL,73.2,27.9477595,-82.458444
Tucson,AZ,69.7,32.2228765,-110.9748477
Virginia Beach,VA,60.5,36.8529841,-75.9774183
Wichita,KS,57,37.6922361,-97.3375448
